sentence1,sentence2,score
Dakwaan PM Setuju Pemuda PAS Tunjuk Perasaan Di Kedutaan Sweden Adalah Tidak Benar,Pakaian Terpakai Dari Pesakit COVID-19 Yang Meninggal Dunia Dijual Murah Adalah...,0.0
Waspada Pelaburan Skim Cepat Kaya Menggunakan Logo Dan Nama Bursa Malaysia,Waspada Fenomena Air Pasang Ekstrem (Banjir Pantai) di Kedah dan Perlis dari 4 hingga 8 Oktober 2025,0.0
Waspada Tawaran Pekerjaan Kononnya Mendapat Maklumat Dari SPA,Makluman: Inisiatif Berkaitan Penyasaran Subsidi RON95 & SARA Kepada Seluruh Rakyat Dewasa,0.0
Dakwaan Bahawa Starbucks Telah Disahkan Haram Oleh JAKIM Adalah Tidak Benar,Waspada Sindiket Penipuan Emel Yang Menggunakan Nama Ahli Lembaga Pengarah TM,0.0
Waspada Tawaran Skim Bantuan Atau Penghargaan Khas Melalui SMS Atau Emel,"Cubaan Jenayah Culik Dan Curi Organ Di Serian, Sarawak?",0.0
Waspada Panggilan Palsu Menggunakan Nama Kementerian Komunikasi Dan Digital,Anggota ATM Memakai Topi Keledar Di Kawasan Yang Diisytiharkan PKPD,0.0
Dakwaan Menteri Komunikasi Dan Digital Mengeluarkan Kenyataan Akan Mengambil Tindakan Tegas Terhadap Individu Menggunakan ‘#KerajaanKoyak’ Dan ‘#PMKoyak’ Adalah Tidak Benar,Penjelasan Isu ‘Program Permohonan Kewarganegaraan’,0.0
Dakwaan Bekas YAB PM Dilantik Sebagai Pengerusi Petronas Adalah Tidak Benar,TNB Menasihatkan Pemilik Kenderaan Dalam Menghadapi Cuaca Panas Ekoran Fenomena El-Nino?,0.0
Dakwaan Terdapat Bantuan Kanak-Kanak Berjumlah Sehingga RM1000 Bakal Diterima Bermula 2023 Adalah Tidak Benar,"Tiada Penculikan Kanak-Kanak Di Pantai Teluk Kemang, Port Dickson",0.0
Poster Digital Berkenaan Diskaun Saman Trafik 50% Adalah Tidak Benar,Makluman: Penutupan Jalan Utama Bermula 26 hingga 31 Ogos 2025 Sempena Sambutan Hari Kebangsaan,0.0
Informasi Yang Tular Di Media Sosial Berkenaan Empat Bantuan Kerajaan Adalah Tidak benar,Nota Suara Datuk Dr Christopher Lee Adalah Palsu,0.0
Tiada Kejadian Rusuhan Di Hadapan Pejabat UMNO Bahagian Lenggong,Waspada Keselamatan Berikutan Hujan Lebat dan Angin Kencang,0.0
Penjelasan Berkenaan Sanitasi Tangan Sebelum Buang Undi Dan Etika Pemakaian Ketika Masuk Pusat Mengundi,Cuti Sekolah Ikutan Pencemaran Sungai Kim Kim Perlu Diganti?,0.0
Video Sekumpulan Lelaki Bermain Alat Muzik Berdekatan Masjid Adalah Video Lama,Video Mendakwa Terdapat Buaya Di Kawasan Pelabuhan Pulau Pinang Adalah Video Lama,0.0
JAKIM Tiada Kaitan Dengan Surat Pelaburan Patuh Syariah Yang Meminta Pelanggan Memindahkan Wang,Dakwaan Terdapat Jangkitan COVID-19 Dari Pasaraya Tesco Adalah Palsu,0.0
Penjelasan Berkenaan Dakwaan Buah Nanas Yang Mengandungi Siklamat,Makluman: 71 Buah Sekolah Di Kuala Lumpur Dan Selangor Akan Melaksanakan PDPR Dari 26 – 28 Mei 2025 Sempena Sidang Kemuncak ASEAN ke-46,0.0
KKM Tidak Pernah Memperakui Sebarang Produk Yang Merawat Diabetes Dan Mengawal Gula Dalam Darah,Video Pelaporan Berita Berkenaan Situasi ILI di Perak Merupakan Video Lama Pada Tahun 2017,0.0
Dakwaan Terdapat Kejadian Culik Kanak-Kanak Di Daerah Alor Gajah Adalah Tidak Benar,Waspada Taktik Penipuan Yang Menghantar Pautan Berkenaan Bayaran Balik Pembayar Cukai,0.0
Dakwaan Bahawa Empangan Tasik Kenyir Akan Pecah Adalah Tidak Benar,JPJ Tidak Memiliki Akaun TikTok ‘@jpjebidofficial’,0.0
Iklan Menawarkan Bantuan Lesen Memandu Percuma Adalah Tidak Benar,Makluman: Hujan Berterusan di Negeri Kelantan dari 25 hingga 27 November 2025,0.0
Mesej Tular Mengenai Kegiatan Penculikan Kanak-Kanak Untuk Tujuan Penjualan Organ Adalah Tidak Benar,Waspada Iklan Perkhidmatan Lesen Memandu Percuma Tanpa Ujian yang Menyalahgunakan Nama dan Logo JPJ,0.0
Waspada Panggilan Telefon Yang Meminta Nombor OTP Atau TAC,Terdapat Kesilapan Ejaan Pada Tajuk Amaran Ribut Petir Yang Dikeluarkan Pada...,0.0
Waspada Dengan Penipuan Melalui Penggunaan Fail APK,"HWKKS Masih Beroperasi Seperti Biasa, Hanya Satu Wad Di Bawah Kuarantin",0.0
Surat Dari MOF Meminta Melakukan Pembayaran Bagi Mendapatkan Sejumlah Wang Tertentu Adalah Tidak Benar,KPM Tidak Pernah Mengeluarkan Arahan Penganjuran Tayangan Filem ‘Anwar: The Untold Story’,0.0
"Penjelasan Isu Logo Halal NAHA, Jepun Pada Produk Instant Rice Noodle",Waspada Taktik Penipuan Yang Menggunakan Logo Dan Nama KWSP Berkenaan Dakwaan Peningkatan Pencen Sebanyak 57%,0.0
Dakwaan Bahawa DYMM Sultan Johor Mengeluarkan Kenyataan Terhadap Sebuah Parti Politik Adalah Tidak Benar,Dakwaan Orang Ramai Yang Tidak Terima Agihan Bantuan Kerajaan Boleh Lapor...,0.0
Waspada Group Telegram Pelaburan Palsu Yang Menggunakan Nama & Logo MIDA,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 23 Oktober hingga 29 Oktober 2025,0.0
Waspada Dengan Panggilan Menyamar Sebagai Pegawai LHDNM,KKM Tidak Pernah Mengeluarkan Kenyataan Berkenaan Penguatkuasaan Larangan Rentas Daerah Di...,0.0
Waspada SMS Kononnya dari Pihak Touch ‘n Go,PDRM Tidak Pernah Mengeluarkan Sebarang Mesej Berkenaan Modus Operandi Penipuan ‘Sim Swap’,0.0
Waspada Penyalahgunaan Logo Dan Menyamar Sebagai Pegawai BNM Atau LHDN,KDN Tidak Pernah Mengeluarkan Sebarang Perakuan Pelantikan Mana-Mana Syarikat Bagi Menguruskan...,0.0
Waspada Panggilan Palsu Menggunakan Nama K-KOMM,Waspada Dengan Panggilan Menyamar Sebagai Pegawai LHDNM,0.0
Waspada SMS Bantuan Khas Kewangan COVID-19 Dikreditkan Ke Akaun E-Wallet Touch ‘n Go,Waspada Panggilan Palsu Daripada EAIC,0.0
Penjelasan Berhubung Kekeliruan Larangan Pengisian Minyak Petrol Dan Diesel Di Stesen Minyak,Waspada Iklan Menggunakan Nama PERKESO Yang Menawarkan Perkhidmatan Ujian Saringan COVID-19,0.0
Penjelasan YAB PM Berkenaan Minyak Masak Paket Yang Digunakan Penjaja Goreng Pisang,Dakwaan Klip Video Kononnya Terdapat Kes Positif COVID-19 Di Klinik Kesihatan...,0.0
Waspada Sindiket Penipuan Yang Menyamar Serta Menggunakan Gambar Datuk Bandar Johor,Makluman: Semua Warganegara Malaysia Yang Mempunyai Lesen Memandu Aktif Layak Membeli RON95 Sehingga 300 Liter Sebulan,0.0
Dakwaan Terdapat ‘Bantuan Suri Rumah’ Dari Pihak JKM Adalah Tidak Benar,Laporan Berita Astro Awani Berkenaan Dakwaan YDP Agong Mahukan Anwar Ibrahim Sebagai TPM Adalah Tidak Benar,0.0
LPM Tidak Melantik Ejen Atau Pihak Ketiga Untuk Menguruskan Jualan Rumah Di Melaka,"Tiada PKPB Di Daerah Kuantan, Pahang Mulai 18 Disember 2020",0.0
Waspada Penyamaran Dan Penggunaan Gambar Profil Warga PDRM Di Media Sosial,Tular Sebuah Video Mendakwa Bahawa Pembantu Rumah Warga Indonesia Didera Adalah Tidak Benar,0.0
Pautan Semak Kelayakan PerantiSiswa Yang Tular Bukan Daripada Saluran Rasmi Kementerian,Video Tular Melibatkan Gerabak Tren Laluan Ampang Terbakar Adalah Tidak Benar,0.0
Poster Bahawa Rakyat Tidak Wajib Memakai Pelitup Muka Bermula 29 Mac Adalah Tidak Benar,Makluman: Operasi Penerbangan Di Lapangan Terbang Sultan Abdul Aziz Shah Tidak Terjejas Susulan Kebakaran Saluran Paip Gas Di Putra Heights,0.0
Dakwaan Pihak Berkuasa Tidak Mengambil Tindakan Terhadap Seorang Wanita Mendera Seorang Kanak-Kanak Tidak Benar,Sistem Pengurusan Pembiayaan LPPSA Akan Ditutup Sementara Pada 14 Dis 2018...,0.0
"EPU, JPM Tidak Membuat Tinjauan Berkenaan Menambah Baik Industri/ Sektor Pertanian",Tiada Pengeluaran Kad Warga Emas Rasmi Malaysia oleh JKM,0.0
IPD Tapah Tidak Pernah Mengeluarkan Amaran Mengenai Sindiket Rompakan Bersenjata Yang Menyamar Dari Syarikat Air Atau Elektrik,Makluman: Penambahbaikan Subsidi Ron95 Bagi Pemandu E-Hailing dan Teksi Lapangan Terbang,0.0
Waspada Peraduan Yang Menggunakan Nama MCMC Bagi Tuntutan Hadiah Kononnya Daripada Syarikat Komunikasi,Kulit Limau Jeruk Keluaran Jiabao Jiuzhi Chenpi Dari China Dicemari Plumbum?,0.0
Tiada Pelepasan Air Dari Empangan Durian Tunggal,Dakwaan Menteri Komunikasi dan Digital Berceramah Kempen Dalam Masjid Di Kuang Adalah Tidak Benar,0.0
Dakwaan Penutupan Laluan Gerik – Jeli Akibat Banjir Adalah Tidak Benar,Pelantikan Petron Sebagai Pembekal Petrol Kerajaan Ada Unsur Nepotisme ?,0.0
PDRM Bersama PGA PDRM Menjalankan Penugasan Rondaan Keselamatan Bagi Penguatkuasaan SOPDi Kawasan Tumpuan Orang Ramai,Waspada SMS Bantuan Khas Kewangan COVID-19 Dikreditkan Ke Akaun E-Wallet Touch ‘n Go,0.0
Hanya Kawasan Yang Terjejas Banjir Sahaja Akan Menghadapi Penutupan Bekalan Elektrik,Produk Tidak Halal Mempunyai Logo Halal JAKIM?,0.0
JMG Tidak Mengeluarkan Arahan Bercuti Atau Kebenaran Bagi Tujuan Bom Di Kawasan Tertentu,"Jemaah Masjid Di Jeram, Kuala Selangor Ditetak Kerana Isu Azan Subuh?",0.0
Dakwaan Bahawa Kemuncak Monsun Timur Laut Akan Berlaku Pada 24 – 26 Disember 2021 Adalah Tidak Benar,Waspada Akaun-Akaun Palsu yang Menyamar Sebagai AGC,0.0
MET Malaysia Tidak Mengeluarkan Maklumat Cuaca Berkenaan ‘Kepala Ribut’,JPJ Tidak Memiliki Akaun TikTok ‘@jpjebidofficial’,0.0
Waspada Pautan Berkaitan TNB Yang Menawarkan Wang Tunai Sempena Ulang Tahun Ulang Tahun TNB,SPRM Hantar Surat Untuk Tutup Kes?,0.0
Mesej Boleh Mendapatkan Vaksinasi Tanpa Janji Temu MySejahtera Di PPV Offsite Tapak Expo Seberang Jaya Adalah Tidak Benar,Waspada Sindiket Penipuan Yang Menawarkan Perkhidmatan Berkaitan Pendaftaran Dokumen Pengenalan Diri Di Media Sosial,0.0
Menteri KPDNHEP Tidak Keluarkan Kenyataan Seperti Yang Tular Di Media Sosial,Pesakit Di Hospital Pulau Pinang Meninggal Dunia Akibat Jangkitan Covid-19?,0.0
DYMM Sultan Johor Tidak Pernah Mengeluarkan Kenyataan Terhadap Kerajaan Seperti Yang Ditularkan,Tiada Kejadian Sebuah Keluarga Meninggal Dunia Di Dalam Rumah Di Taman Merdeka Ketika Dalam Tempoh Kuarantin,0.0
Penjelasan Dakwaan Kes Samun Menggunakan Pisau Yang Disembunyikan Di Sebalik Kad Nama,Kanak-kanak Bawah 12 Tahun Tidak Digalakkan Memasuki Pusat Beli-belah / Kedai...,0.0
KWSP Tidak Mengeluarkan SMS Berkaitan Sekatan Pengeluaran i-Citra,Waspada Taktik Penipuan Yang Menyamar Sebagai BSN Dengan Meminta Berkongsi Maklumat...,0.0
Tawaran Perkhidmatan Dan Caj Rawatan Untuk Kimoterapi Oleh IKN Adalah Tidak Benar,Menteri Kesihatan Keluarkan Kenyataan Media Mengenai ‘Traditional and Complementary Medicine’?,0.0
Waspada Unit Saham Bank Rakyat Yang Diniagakan Secara Terbuka Di Media Sosial,Makluman: Permohonan BUDI95 untuk Warganegara Malaysia yang Mempunyai Lesen Memandu Singapura Mulai 16 Oktober 2025,0.0
Tiada Pakar Bedah HKL Bernama Dr. Shafawati Meninggal Dunia Akibat Vaksin,Dakwaan Bekas Banduan Berkenaan DSAI Di Penjara Sungai Buloh Adalah Tidak Benar,0.0
Premis Makanan Tealive Masih Pemegang Sijil Pengesahan Halal Malaysia Yang Sah,Wanita Dengan Tag Merah Jambu Di Sebuah Premis Makanan Di Temerloh...,0.0
Waspada Sindiket Penipuan Yang Menawarkan Harga Pakej Pelancongan Murah,Waspada Penyamaran Dan Penggunaan Gambar Profil Warga PDRM Di Media Sosial,0.0
Waspada Sindiket Penipuan Yang Menawarkan Perkhidmatan Berkaitan Pendaftaran Dokumen Pengenalan Diri Di Media Sosial,Wabak COVID-19 Di Daerah Ranau Bukan Berpunca Daripada 14 Individu Kluster...,0.0
Waspada Modus Operandi Penipuan Suntikan Modal,Waspada Dalam Menyebarkan Rakaman Video Buli Sekumpulan Pelajar Terhadap Seorang Pelajar,0.0
Penjelasan Berhubung Statistik Mengatakan Klang Sebagai Bandar Paling Tidak Selamat Di Asia Tenggara,2 Pesakit Positif COVID-19 Lari Dari Hospital Port Dickson Adalah Palsu,0.0
"Dakwaan Seorang Pelajar Perempuan Di Baling, Kedah Meninggal Dunia Akibat Suntikan Adalah Tidak Benar",Waspada Cubaan Ambilalih Akaun Telegram Dengan Menyamar Sebagai Saluran Bantuan Kerajaan,0.0
"Bukan Untuk Merobohkan Tokong, Tetapi Membina Pagar Penghadang ‘Hoarding’ Untuk Laluan Ke Sekolah","Poster MKN Berkenaan Larangan Dine-In Di Restoran/ Kedai Makan Bagi Kawasan PKP, PKPB & PKPP Berkuatkuasa Dari 13 April – 12 May 2021 Adalah Poster Yang Diubahsuai",0.0
Iklan Tawaran Lesen Memandu Tanpa Ujian Komputer/JPJ Adalah Tidak Benar Dan Tidak Mengikut Prosedur Yang Ditetapkan Oleh JPJ,Dakwaan Bahawa Starbucks Telah Disahkan Haram Oleh JAKIM Adalah Tidak Benar,0.0
"Warga Asing Memakai Gelang Pink Didakwa Berkeliaran Di Seksyen 7 Bukit Mahkota, Bangi Adalah Dalam Perjalanan Pulang Ke Kediaman",Dakwaan PM Setuju Pemuda PAS Tunjuk Perasaan Di Kedutaan Sweden Adalah Tidak Benar,0.0
Waspada Tinjau Selidik Kononnya Sempena Sambutan Ulang Tahun Petronas Yang Ke-50,"Bukan Kes COVID-19, Tetapi Mengalami Sakit Dada",0.0
Tular Sebuah Video Mendakwa Bahawa Pembantu Rumah Warga Indonesia Didera Adalah Tidak Benar,Terdapat Iklan Tawaran Perkahwinan Warga Asing Dengan Wanita Tempatan Yang Menggunakan...,0.0
57 Kes COVID-19 Pada 17 September 2021 Hanya Melibatkan Warga Tempatan Sahaja,"Pemberian Elaun Sebanyak RM3,000 Kepada Sesiapa Yang Dibuang Kerja Semasa Tempoh...",0.0
Poster Pergerakan Rentas Daerah Dan Negeri Dibenarkan Berkuatkuasa Dari 18 September 2021 Adalah Tidak Benar,Waspada Modus Operandi Penipuan Yang Meminta Pembayaran Cukai SST Melalui Invois Palsu,0.0
"Dakwaan Kononnya Individu Tidak ‘Check-Out’ Di MySejahtera Akan Dikenakan Denda RM1,500 Adalah Tidak Benar",Kesemua Jemaah Haji Tajaan Yayasan 1MDB Dibatalkan?,0.0
Tiada Kematian Pesakit Dilaporkan Di HSI Kerana Insiden Gangguan Bekalan Elektrik,Makluman: Perluasan BUDI95 Kepada Pengguna Bot Berdaftar di Sarawak & Siling Penggunaan Bagi Pemandu E-Hailing Sepenuh Masa,0.0
Dakwaan Bahawa PPV Kompleks Dewan Komuniti Pantai Seremban Memberikan Vaksin Percuma Kepada Warga Asing Adalah Tidak Benar,"Kes COVID-19 Di SJK(C) Ko Kuang, Skudai?",0.0
Waspada Penawaran Diskaun Bagi Urusan Penangguhan Kes Mahkamah Di Mahkamah Persekutuan Melalui Pihak Ketiga,Peperiksaan UPSRx dan PT3x Bukan Di Bawah Kendalian Lembaga Peperiksaan dan...,0.0
"Video Kononnya Berlaku Kesesakan Bagi Sambutan Merdeka Di Drawbridge, Kuala Terengganu Adalah Video Lama",Makluman: Amaran Hujan Berterusan (Bahaya),0.0
Kenyataan Kononnya Dari DYMM Sultan Johor Terhadap Kerajaan Adalah Tidak Benar,Talian Hotline Yang Menggunakan Nombor Mudah Alih Untuk Setiap Daerah JKM...,0.0
Poster Kononnya MIDA Mengucapkan Tahniah Kepada DS Azmin Ali Sebagai TPM Adalah Tidak Benar,Waspada Dengan Produk Hamer Ginseng & Coffee Candy,0.0
Dakwaan Kononnya MCMC Sekat Akses Artikel-Artikel Terbitan Portal Luar Negara Adalah Tidak Benar,PETRONAS Tidak Menutup Operasi Pelantar Di Malaysia,0.0
Laporan Berita Astro Awani Berkenaan Dakwaan YDP Agong Mahukan Anwar Ibrahim Sebagai TPM Adalah Tidak Benar,Bantuan Percuma Kerajaan 2023 Khas Sehingga RM2500 Adalah Tidak Benar,0.0
Mesej Terdapat 15 Bayi & Kanak-Kanak Perlukan Penjagaan Kerana Rumah Anak Yatim Akan Ditutup Adalah Mesej Tidak Benar Dan Ditularkan Semula,Waspada Akaun Palsu Yang Menyalahgunakan Identiti (KDPB) Tengku Ampuan Pahang,0.0
"Kejadian Seekor Buaya Bawa Mayat Seorang Wanita Berlaku Di Mexico, Bukan Di Jambatan Pulau Pinang",Waspada Sindiket Penipuan Yang Meminta Maklumat Peribadi Dan Bayaran Bagi Menjalani...,0.0
"Dakwaan Bahawa PKPD Akan Dilaksanakan Di Jelutong, Perak Road Dan Sungai Pinang Adalah Tidak Benar",Mesej Hebahan Didakwa Dari Hospital Segamat Berkenaan Pemberian Penutup Muka Percuma...,0.0
Dakwaan Mesej HTJ Seremban Akan Bertukar Status Sebagai Hospital COVID Adalah Tidak Benar,Harga Barangan Akan Meningkat Berikutan Perlaksanaan Cukai SST?,0.0
Dakwaan Mayat Pesakit COVID-19 Masih Hidup Ketika Mahu Dikebumikan Adalah Tidak Benar,Makluman: Penutupan Lencongan Jalan Sempena 58th AMM & Related Meetings Pada 8 Hingga 11 Julai 2025,0.0
"Dakwaan Bahawa HPSF, Muar Akan Menerima Seramai 200 Orang Pesakit COVID-19 Adalah Tidak Benar",Waspada Serangan Hasad SparkCat Melalui Aplikasi di Platform Google Play dan  Apple App Store,0.0
"Dakwaan Varian Delta Menular Di Kulai, Johor Adalah Tidak Benar",Poster Digital Berkenaan Diskaun Saman Trafik 50% Adalah Tidak Benar,0.0
2 Individu Menunggang Motosikal Memakai Gelang ‘Pink’ Dalam Perjalanan Pulang Ke Rumah Untuk Tujuan Kuarantin Kendiri,Makluman: Pembubaran Dewan Undangan Negeri Sabah ke-16,0.0
Dakwaan Terdapat Kes Varian Delta COVID-19 Di Taman Sri Kijang Adalah Tidak Benar,Pautan Untuk Menyemak Status Bantuan SARA RM200 Setiap Bulan Adalah Tidak Benar,0.0
"Penjelasan Berhubung Borang Pendaftaran Vaksin ‘Vaksin Pfizer, Kuota TMJ’",Waspada Produk Kingu Ginseng Candy Mengandungi Tadalafil,0.0
Penjelasan Video Tular Berkaitan Kebenaran Rentas Negeri Dan Daerah Bagi Mereka Yang Telah Lengkap 2 Dos Vaksin,Makluman: Permohonan BUDI95 untuk Warganegara Malaysia yang Mempunyai Lesen Memandu Singapura Mulai 16 Oktober 2025,0.0
Waspada Dengan Aplikasi Tidak Sah Dari Pihak Ketiga,Waspada Taktik Penipuan Menyalahgunakan Nama & Logo KTMB dengan Tawaran Cenderahati Sempena Hari Kebangsaan,0.0
"Tawaran Iklan Permohonan Terbuka Rumah Mampu Milik, Skim MyHome, MyDeposit Dan Bina Rumah Atas Tanah Sendiri Di Bawah SPP Kurang Tepat",Waspada Dengan Produk Skinny Lolita Dan Xtreme Candy,0.0
Kejadian Rompakan Bersenjata 4 Individu Berlaku Di New Delhi Bukan Di Sungai Siput,Waspada Dengan Penipuan Melalui Penggunaan Fail APK,0.0
Waspada Penyebaran Borang Pendaftaran ‘Google Forms’ Bagi Permohonan Vaksin Sinovac Di PPV BACC,Kadar Pertukaran USD/MYR Yang Diterbitkan Oleh Google Pada 15 Mac 2024 Adalah Tidak Tepat,0.0
Video Tular 2 Wanita Bunuh Diri Video Lama Dan Bukan Di Malaysia,Dakwaan Tiada Penganjuran Majlis Tilawah Dan Hafazan Al-Quran Pada Tahun 2024 Adalah Tidak Benar,0.0
Dakwaan Bahawa YAB Perdana Menteri Dimasukkan Ke Hospital Ekoran Masalah Pembedahan Lalu Adalah Tidak Benar,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 3 Julai Hingga 9 Julai 2025,0.0
"Video Tular Kejadian Rompakan Berlaku Di Luar Negara, Bukan Di Puchong",Polis Nafi Bertindak Kasar Ketika Menahan Wanita Warga Indonesia,0.0
Waspada Penyebaran Borang Pendaftaran Vaksinasi COVID-19 Melalui Saluran Tidak Rasmi,Kanak-Kanak 7 Tahun Disahkan Positif Koronavirus Di Hospital Likas?,0.0
Waspada Aplikasi Perisian Hasad (Malware) Yang Minta Maklumat Perbankan,Dakwaan Kejadian Jambatan Runtuh Dan Dihanyutkan Di Johor Adalah Tidak Benar,0.0
Waspada Sindiket Penipuan Melalui Mesej Yang Menawarkan Bonus Hari Raya Atas Talian,Dakwaan Kertas Soalan Peperiksaan Sejarah SPM Tahun 2024 Bocor Adalah Tidak Benar,0.0
Dakwaan Bahawa Penerima Vaksin Akan Mendapat Kesan Sampingan Jika Menggunakan Anesthetic Ketika Pembedahan Adalah Tidak Benar,Waspada Iklan Menawarkan Skim Pinjaman Dengan Menyalahgunakan Logo Dan Nama KWSP,0.0
Mesej Bekenaan Penangguhan Sidang Media / Pernyataan Awam Dari JPN/PPD/Sekolah Sempena Keputusan SPM 2020 Adalah Tidak Benar,"Mesej Tular Berkenaan Saman RM300, RM200 Dan RM150 Bagi Pelaksanaan PKP...",0.0
Mesej Kononnya SOP Terkini Oleh MKN Berkenaan Pelaksanaan Lockdown Adalah Tidak Benar,"Makluman: Larangan Penggunaan Dron di Kawasan IOI Resort City, Putrajaya pada pada 17 Ogos 2025 dari Jam 1.45 sehingga 2.45 Petang",0.0
"Tiada Sebarang Grafik Dikeluarkan Oleh Pihak MITI Bagi Pelaksanaan PKP Fasa Pertama, Bagi Tempoh 1 – 14 Jun 2021",Waspada Sindiket Penipuan Yang Meminta Maklumat Peribadi Dan Bayaran Bagi Menjalani...,0.0
Tiada Kejadian Sebuah Keluarga Meninggal Dunia Di Dalam Rumah Di Taman Merdeka Ketika Dalam Tempoh Kuarantin,Makluman: Kempen Pengurangan Bayaran Saman Trafik Sebanyak 70% Bermula Pada 1 November Hingga 30 Disember 2025,0.0
Dakwaan Pendaftaran Vaksin AstraZeneca Dibuka Bagi Golongan Yang Berumur 60 Tahun Ke Bawah Bermula 25 Mei 2021 Adalah Tidak Benar,Penjelasan Berkenaan Dakwaan Buah Nanas Yang Mengandungi Siklamat,0.0
Dakwaan Bahawa Posmen Akan Bekerja Dari Rumah Adalah Tidak Benar,Waspada Taktik Penipuan Yang Meminta Maklumat Peribadi Melalui Kaedah Quishing Berkaitan Berkaitan STR dan SARA,0.0
Dakwaan Pemberian Vaksin Untuk Penduduk Di Sekitar Bandar Seri Putra Adalah Tidak Benar,Waspada Sindiket Penipuan Emel Yang Menggunakan Nama Ahli Lembaga Pengarah TM,0.0
Dakwaan 200 Penduduk Kampung Pauh Lima Lari Dari Kawasan PKPD Adalah Tidak Benar,Makluman: Harga Runcit Produk Petroleum Bagi Tempoh 6 November hingga 12 November 2025,0.0
"Dakwaan Mesej Kononnya Kerajaan Selangor Melancarkan 500,000 Vaksin Sinovac Tambahan Adalah Tidak Benar",Kejadian Samun Sekumpulan Perompak Di Felda Besout?,0.0
"Tiada Kes Varian Afrika Selatan Dilaporkan Di Palong, Jempol Dan Tiada Penutupan Jalan Keluar Masuk Di Sekitar Palong 4, 5 dan 6",Dakwaan Kehilangan Duit Dari Akaun Bank Selepas Daftar PADU Adalah Tidak Benar,0.0
KBS Tidak Pernah Memberi Kelulusan Penyertaan Warganegara Israel,Waspada Modus Operandi Penipuan Yang Meminta Pembayaran Cukai SST Melalui Invois Palsu,0.0
Dakwaan Bahawa PNSB Mengusir Penduduk Orang Asli Suku Mah Meri Di Bagan Lalang Tidak Tepat,Bukan Bazar Ramadan Yang Dibuka Di Kampung Pandan,0.0
PMO Tidak Keluarkan Kenyataan Media Berbahasa Inggeris Berhubung Pelaksanaan PKP,Dakwaan Kononnya Ketua Polis Terengganu Keluar Amaran Bahawa PKPD Akan Dilaksanakan...,0.0
Waspada Laman Sesawang Mirip Laman Rasmi Bantuan Prihatin Rakyat (BPR),PETRONAS Tidak Menutup Operasi Pelantar Di Malaysia,0.0
Semua Penerbangan MAB Dari India Ke Malaysia Adalah Penerbangan Kargo,Pembatalan Saman Tertunggak AES Jejaskan Pendapatan Kerajaan?,0.0
Dakwaan Bahawa Hasil Bedah Siasat Doktor Di Rusia Ke Atas Pesakit Pesakit COVID-19 Menemui Punca Kematian Bukan Disebabkan Oleh Virus Adalah Tidak Benar,Dakwaan Bahawa Hasil Bedah Siasat Doktor Di Itali Ke Atas Pesakit COVID-19 Menemui Punca Kematian Bukan Disebabkan Oleh Virus Adalah Tidak Benar,0.0
Jabatan Perumahan Negara Tidak Terlibat Dalam Permohonan Sumbangan Oleh ‘Majlis Kebangsaan Kesatuan Pekerja-Pekerja Kerajaan Malaysia’,"Tiada Kes Varian Afrika Selatan Dilaporkan Di Palong, Jempol Dan Tiada Penutupan Jalan Keluar Masuk Di Sekitar Palong 4, 5 dan 6",0.0
"Dakwaan Anggota Polis Meninggal Dunia Selepas Menerima Vaksin Ke-2 Di Hospital Gerik, Perak Adalah Tidak Benar",Ayam Di Pasar Raya Bebas Daripada Jangkitan COVID-19,0.0
"Poster MKN Berkenaan Larangan Dine-In Di Restoran/ Kedai Makan Bagi Kawasan PKP, PKPB & PKPP Berkuatkuasa Dari 13 April – 12 May 2021 Adalah Poster Yang Diubahsuai","Dakwaan Seorang Pelajar Perempuan Di Baling, Kedah Meninggal Dunia Akibat Suntikan Adalah Tidak Benar",0.0
"Waspada Tawaran Bagi Permudah Urusan Penukaran Nama, Lesen Memandu & Cukai Jalan",Dakwaan Tidak Perlu Surat Kebenaran Merentas Daerah Di Kedah Adalah Tidak...,0.0
Tiada Penularan COVID-19 Dilaporkan Di 7 Buah Sekolah Di Daerah Dungun,Dakwaan Pemberian Vaksin Untuk Penduduk Di Sekitar Bandar Seri Putra Adalah Tidak Benar,0.0
Infografik Larangan Membuat Pernyataan Awam Bukan Dikeluarkan Oleh KKM,Ketua Setiausaha MITI Tidak Pernah Terlibat Dengan Mana-Mana Skim Pelaburan Patuh Syariah,0.0
Penjelasan Berkenaan Laporan Hospital Serdang Mengutamakan ‘Influencer’ Dalam Pemberian Vaksin COVID-19,Waspada Iklan Menggunakan Nama PERKESO Yang Menawarkan Perkhidmatan Ujian Saringan COVID-19,0.0
Polis Nafi Bertindak Kasar Ketika Menahan Wanita Warga Indonesia,Dakwaan Terdapat Bantuan Kewangan RM750 Kepada Semua Rakyat Malaysia Adalah Tidak Benar,0.0
Kanak-kanak Bawah 12 Tahun Tidak Digalakkan Memasuki Pusat Beli-belah / Kedai...,Dakwaan Terdapat Peraturan Komunikasi Baharu Oleh Kerajaan Adalah Tidak Benar,0.0
Borang Persetujuan Suntikan Vaksin COVID-19 Yang Ditularkan Adalah Borang Belum Muktamad,Dakwaan Seorang Wanita Menggunakan Kabel Polis Dungun Untuk Rentas Negeri Adalah...,0.0
